wid,stimulus,button_pressed,time_elapsed,rt,trial_type,view_history,questions,responses,correct,queries,block,actions,delays,rewards,prs,score,action_times,trial_id,trial_time,path,simulation_mode,state_rewards,trial_index,key_press
w383bb6f,,,1099955,48010,survey-text,,,"{""Q0"":""I have learned different thing which was interesting.""}",,,,,,,,,,,,,,,,
w8af2d3c,,,263584,24015,survey-text,,,"{""Q0"":""I have learned that I need to plan my route before I move""}",,,,,,,,,,,,,,,,
w3861fef,,,298290,36038,survey-text,,,"{""Q0"":""Clicking on outermost nodes first, and then checking one node prior to those if some are equally high. ""}",,,,,,,,,,,,,,,,
wdb29b3e,,,725218,68375,survey-text,,,"{""Q0"":""Well it took me awhile to understand the instructions.  Once I got the hang of it then I would just keep checking the circles until I got to 48""}",,,,,,,,,,,,,,,,
w7628afc,,,405327,41247,survey-text,,,"{""Q0"":""I was going blindly the first couple of times and do well, but then I ended up losing money.  This made me start to click on some of the nodes before continuing.""}",,,,,,,,,,,,,,,,
wde69858,,,1781802,15570,survey-text,,,"{""Q0"":""I am clicking the right bubbles. ""}",,,,,,,,,,,,,,,,
w01669a7,,,494695,56755,survey-text,,,"{""Q0"":""I feel like I should be doing something differently but I'm not sure what it is. I'm not clear on why I kept getting delay penalties and messages that I should have gone a different way.""}",,,,,,,,,,,,,,,,
w4f54495,,,411725,26341,survey-text,,,"{""Q0"":""Start by checking the value of the final nodes first""}",,,,,,,,,,,,,,,,
w5957bc7,,,689182,23079,survey-text,,,"{""Q0"":""Check the outer nodes until I find the high value""}",,,,,,,,,,,,,,,,
wcacd23b,,,246534,15778,survey-text,,,"{""Q0"":""Revealing more to try to avoid delays""}",,,,,,,,,,,,,,,,
w909b325,,,217528,12099,survey-text,,,"{""Q0"":""Not clicking all the boxes. ""}",,,,,,,,,,,,,,,,
w6c8a977,,,1301044,118525,survey-text,,,"{""Q0"":""Yes. I learned to find the destination node with the most positive value but to also look at the path and the numbers in those nodes."",""Q1"":""44"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wc56f217,,,395497,29580,survey-text,,,"{""Q0"":""I started accepting the green's after a certain amount."",""Q1"":""31"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
