pid,action_times,actions,block,correct,delays,key_press,path,prs,queries,questions,responses,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,view_history
17,,,,,,,,,,,"{""Q0"":""I learned not to click too many nodes. I learned that the final node was the most valuable, so figuring out which one held the +48 was the best way to figure out where to go, all other nodes were pretty much irrelevant""}",,52507,,,,333055,,,,survey-text,
17,,,,,,,,,,,"{""Q0"":""39"",""Q1"":""male""}",,8242,,,,622373,,,,survey-text,
7,,,,,,,,,,,"{""Q0"":""I learned that I should check the endpoints first to see if I can find a node with $48. Once I do, head for that node. If there are none, there are probably multiple endpoints with $24 so I should find the highest second to last node value on the paths to $24 dollars and choose that one.""}",,111414,,,,574341,,,,survey-text,
7,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,6258,,,,1027001,,,,survey-text,
75,,,,,,,,,,,"{""Q0"":""Figured it out after the first try. I had to find the +$48 node each time and there was one in all but one trial, once I found it, I moved the spider there without clicking on any more nodes.""}",,66000,,,,520856,,,,survey-text,
75,,,,,,,,,,,"{""Q0"":""43"",""Q1"":""Male""}",,6648,,,,821025,,,,survey-text,
27,,,,,,,,,,,"{""Q0"":""I started checking the ends rather than starting with the nearest move.""}",,20571,,,,412075,,,,survey-text,
27,,,,,,,,,,,"{""Q0"":""40"",""Q1"":""female""}",,6730,,,,675897,,,,survey-text,
45,,,,,,,,,,,"{""Q0"":""I first clicked on all the nodes to reveal their value, but I should have just looked for the 48, the max.""}",,44652,,,,295591,,,,survey-text,
45,,,,,,,,,,,"{""Q0"":""22"",""Q1"":""Female""}",,8177,,,,594720,,,,survey-text,
81,,,,,,,,,,,"{""Q0"":""I learned that 48 is the high, and if the bonuses are the same in different directions I should continue uncovering to select a proper path""}",,49788,,,,356026,,,,survey-text,
81,,,,,,,,,,,"{""Q0"":""47"",""Q1"":""male""}",,8894,,,,645018,,,,survey-text,
54,,,,,,,,,,,"{""Q0"":""I was checking the nodes to find the highest amount before making a move.""}",,33336,,,,597193,,,,survey-text,
54,,,,,,,,,,,"{""Q0"":""52"",""Q1"":""Male""}",,12249,,,,946174,,,,survey-text,
87,,,,,,,,,,,"{""Q0"":""I learned to check the end nodes and go from there.""}",,18247,,,,196389,,,,survey-text,
