wid,worker_id
w65bc127,5c586f5eee248f00016b7fe7
wbea1096,5f93d146c7bf101b64330f2b
w2793fb6,5bc0981274e76c00019e94cd
w6676851,5a3c81081950a80001e7ab99
w481d889,5dd364f67b6a6636f039ba37
w93f26eb,5f507fb3e29c991f68f5879a
w2a0ab42,5f11dae9c4fa8f0aae5f0c27
web8ffb5,5be8a1701664db0001d804f8
w093eaeb,5f953104056d07000b07ddca
we5c6276,5ed07b035d44fa1539f0c3e4
wdc20064,5a60237c76d1c60001ab8945
wcfde54b,5f4c904e611c2f000bc7abd5
wa86155a,5e1ccb298f3c65054bd232c1
w40e3389,5c0c8097594d92000167cb6d
wc3d7f02,5dc4e8c79be08f38e4bd7f8f
w1dcfaef,5f63a5459301b60c5597dfd1
w5c09935,5de76eb75fb5c86d599eef3c
w2ab54ce,5ea7b7db3021ac19f4c60770
w4a334cd,5f87c566563f7c20abe907a6
w355bc50,5e9b621702bbdc069b2496c4
wbea1096,5f93d146c7bf101b64330f2b
w14aa0fc,5ba061980611410001075732
w26c2c7b,574128a9a0a4b20011b02fda
w5c03936,5ed738379a8d501a9b42aef6
wf9761ce,5eb46ccc0c06142c0faae377
wb264739,5a5bff49acc75b00017a6009
w66b2542,566c9284d408ea000519c6d7
we2c2af5,5ec5925cb3d6035afea34d20
w92f2ebc,5f3810bc8049e40ad7b6909a
w9964b87,5f7224ac27835810d508f6ef
w18740cf,5d4c78071b920f00198e8533
w3fd7606,5e8b7c47dcdcc005a9f8e904
w9fe461d,5f1ca7c9d3db3c11895ba1fa
w35d67ff,5ef50efb540ce9158a111a6b
w38b044a,5f120594adcb84118a2bd752
w44519a3,5af709b825561e00013acd7e
w91c085c,56f29effed0cf60006911528
w905a6a8,5eba18339a2fbf14ca992775
w06dda84,5f8a33a9ebe8890edbff9da1
waecabcf,55fb068b77f33b0005cb1efc
wa2fd528,5e97dabdaec5002a97df44bc
w7bcba3b,5e73f009c4c4983798101851
w4af49c9,5aeffc6e0ccc2e000185aa28
w61f58b5,5f5d417b2f9ff7585e4235a5
w4004298,55c43918fdf99b080551e044
we768dde,5a6790c063394a000155b049
w3f48398,5b16c598d81c880001187bc1
w12a699a,5f36a9175365a50a5b420484
w303e045,5f7cac5836bfca11a41e047e
w61f7f66,5dd1bcb78b8df12171cf5dff
wc5e4d33,55884984fdf99b4021921e67
w03d79e5,5c5d0c72d697e70001079ca0
w41d93aa,5e26f9275b32379235cbbe94
w6658eb1,5aa485b11eda41000136c94b
we4ca367,5f4d481dd1c4919db809ed25
w21b72c7,5f033adcd2fab64efd3502d2
w202e807,5f2f6f0f7729c53589432038
wde6f8b6,5f5bac39ce8ed832aa378a53
w9c4b289,5deaf76503356522363712c8
w41dfe98,57ac9e210493620001d3a277
w34122c9,5e415a5f9dd805382f0b6af9
wa93d8e1,5f4eb642ce413e0ecc88e227
w66dbfb9,5b589d330bc96b0001fa5d3c
w94555d2,5de553a18f5cd54e76dd1466
w262270e,5e4c21f770e1ed0849f9a7d0
wf4867a3,5f6ad2f3f25c161a5d50f8df
w322a67f,5ced2e280b20970017acee91
w49a4ecc,5c525573f3001c000124e4cb
w1192040,5a01ddf3728b1b0001ad8ad0
w445c486,5f2949fdd9d4cf00083d7130
w4e3fba9,5e5d824268168509ca89806f
w66a7dde,5f76121ac0c40e0564245b70
w3353e38,5eaa6339b2e5311e8e020396
wc1e07f0,5dd36d5259b1b03707103b36
wb91524e,55d242825bc5bc0012d90383
w1aeb482,5efa4215e40a3d124e70b7c3
wda8a823,5cabd5cacc54e70001094d05
wd68ac06,5c4be2759233b80001b2ed8a
w15919cb,56021163e372c00011bd426d
w2915cde,5f91b0b4ecc9b1056007abe1
w6bb907b,5f6699aef1af6f28a6e3e496
w693b738,5dd94be0fd5b288cf5cfc966
w6ea1325,5e596c7962d4f9027fc4b594
w7e4b254,5e332d24560619057837d666
w38cc0d1,5d88f2f8cefb52001a83f1b2
w1ba4d2a,5d8a65b2aea1ac0019a5a588
w5c82366,5aaf13dbfb22320001bab178
w214beb3,5e39872941345d19db4d3e20
w34b3b14,5eb1be3396a9262f9fae741a
wbb1a933,5f932ed3819efa0d73884dbf
w14755fd,5f60d1dbfc02e3049c1ec760
wec30174,5f2dafb57ef56d0c6420bd98
w779cc78,5f63a30a09bd340c84c6688d
wafa08c4,5d3bc1906866bc00169046c8
w9eab211,5dce9f0c867a25197d6944c5
wd43d838,5f4bb8e390266306e52d47bc
w88fa9c1,5c03688d29abc00001991a3a
w63876de,5a03d20a7ecfc50001be0a7a
wd6c841c,589a46af57995d0001a8a03a
w0ad7a18,5f5561aaa0ac76139a995737
w7d702f2,5f8c8b84e360200d51e90aab
w6392fb9,5d0109d87cd400001a9adefb
w81e01f7,5f0e52aa66ece519e2831c7c
w47d0970,5de847efd0e07e7b5f97ef76
wed564b7,5dea9b4a35575a1c1c362ae6
w93869a6,5f934373da91be1060d843b9
w45d9d3d,5c910c77873e3b001575b95b
w7372f01,5a7b2b52000dab00018c402b
w00a5b64,5f5be44433097f39b8ac2223
wdb72bf5,5f345b441676901c1c1d203a
w40735d7,5cc0b8168d25ab001796b8fe
wfcb5827,5a02083e087f2e0001eadbdb
wb7ac4c3,5cd438bdcbd7830017dba215
w6d0d217,5cfb5233df7d70001619ca90
w18c6801,55895b93fdf99b6bd06017c4
w8474857,5edb164c0d7fc47972df387a
w3d8365b,5ea350e54687bd109467dc70
w0cdbe34,5bf86a676af57800010cc71c
w0d91644,5c7b6606edd568001200fa9c
wfad7116,5ef7710bb5b38908a7fc8625
we6f0dfa,55595b70fdf99b387ae30d2b
wdc3f276,5f2ac55b23cc6d38be906090
w6c91f53,5d1804fa1a4be70001636be9
wc4d18d1,5f401e7ce4e248131b700c9d
w304b9ad,5d949970ca12280014908f72
w6b242c5,5f6f804d08ac07510eaaf4ed
wa616224,5e98316c930e800008d51eec
w79cb3a2,5ecff62cb1b0dc08775b33f4
wcf6b956,5d85150104ad7f00180935d1
w03510c5,5e38f1b8a0743e10f54280de
