pid,action_times,actions,block,correct,delays,key_press,path,prs,queries,questions,responses,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,view_history
55,,,,,,,,,,,"{""Q0"":""I've learned to check enough nodes in order to maximize the chances of selecting the best route. Toward the end, I have learned to continue checking nodes until I find the better one and to skip over checking nodes if the previous node have a +10 value.""}",,225081,,,,512165,,,,survey-text,
55,,,,,,,,,,,"{""Q0"":""31"",""Q1"":""Male""}",,5833,,,,792277,,,,survey-text,
0,,,,,,,,,,,"{""Q0"":""Which nodes to click on""}",,17169,,,,426355,,,,survey-text,
13,,,,,,,,,,,"{""Q0"":""Nothing. I didn't know if I should try the node inspecter or not. I feel like I should have done that. It felt like a trap.""}",,55184,,,,324548,,,,survey-text,
13,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""Female""}",,7390,,,,729298,,,,survey-text,
14,,,,,,,,,,,"{""Q0"":""I'm thinking that if I take the same route every time I might increase my chances but that would be boring so I'll probably move a different way each game. Amazon turk has been slow this week so I hope I earn a bonus. ""}",,72317,,,,379109,,,,survey-text,
14,,,,,,,,,,,"{""Q0"":""55"",""Q1"":""female""}",,9761,,,,640402,,,,survey-text,
35,,,,,,,,,,,"{""Q0"":""I have learned to use my $1 node choice carefully.""}",,40005,,,,639587,,,,survey-text,
35,,,,,,,,,,,"{""Q0"":""53"",""Q1"":""Female""}",,10199,,,,905758,,,,survey-text,
33,,,,,,,,,,,"{""Q0"":""I am trying to look for positive amounts and go the right path.""}",,35858,,,,229860,,,,survey-text,
33,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""female""}",,10054,,,,465362,,,,survey-text,
63,,,,,,,,,,,"{""Q0"":"" it is very hard to know it ""}",,18934,,,,845850,,,,survey-text,
63,,,,,,,,,,,"{""Q0"":""45"",""Q1"":""male""}",,16978,,,,1126084,,,,survey-text,
83,,,,,,,,,,,"{""Q0"":""wait that was training, ugh. I was mostly confused why it kept making me wait, I had no way to plan strategy since it kept distracting me.""}",,45072,,,,411997,,,,survey-text,
83,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""male""}",,13337,,,,705994,,,,survey-text,
77,,,,,,,,,,,"{""Q0"":""I have noticed certain patterns where I lose more money. I should definitely be using the node inspector sparingly if I wish to do well in this game.""}",,33777,,,,369642,,,,survey-text,
77,,,,,,,,,,,"{""Q0"":""40"",""Q1"":""male""}",,7299,,,,617510,,,,survey-text,
76,,,,,,,,,,,"{""Q0"":""It seems that more initial clicks have been better for me, so I will click more before moving""}",,84225,,,,435364,,,,survey-text,
76,,,,,,,,,,,"{""Q0"":""49"",""Q1"":""female""}",,12362,,,,829197,,,,survey-text,
47,,,,,,,,,,,"{""Q0"":""I am just going with my gut feelings on this.""}",,12056,,,,431055,,,,survey-text,
47,,,,,,,,,,,"{""Q0"":""36"",""Q1"":""male""}",,7230,,,,676668,,,,survey-text,
30,,,,,,,,,,,"{""Q0"":""I should examine the adjacent nodes until I find a positive number. Then I should check the nodes nex to that one to find a pattern that will lead to a high amount. If I don't see a good pattern then check some other nodes.""}",,87759,,,,414953,,,,survey-text,
30,,,,,,,,,,,"{""Q0"":""32"",""Q1"":""Male""}",,13923,,,,720549,,,,survey-text,
39,,,,,,,,,,,"{""Q0"":""I learned that I should inspect less and go based on luck""}",,9608,,,,304597,,,,survey-text,
39,,,,,,,,,,,"{""Q0"":""22"",""Q1"":""male""}",,5397,,,,534950,,,,survey-text,
38,,,,,,,,,,,"{""Q0"":""I've learned to try and explore nodes to get the best value""}",,12339,,,,221839,,,,survey-text,
38,,,,,,,,,,,"{""Q0"":""30"",""Q1"":""male""}",,5079,,,,464219,,,,survey-text,
49,,,,,,,,,,,"{""Q0"":""I learned to minimize my use of the inspector.""}",,18977,,,,186210,,,,survey-text,
49,,,,,,,,,,,"{""Q0"":""36"",""Q1"":""Female""}",,7288,,,,413324,,,,survey-text,
4,,,,,,,,,,,"{""Q0"":""it was confusing why I HAD to inspect certain nodes but I think I understand now after the practice""}",,19349,,,,272261,,,,survey-text,
4,,,,,,,,,,,"{""Q0"":""32"",""Q1"":""female""}",,7561,,,,529093,,,,survey-text,
90,,,,,,,,,,,"{""Q0"":""I'm trying to be more methodical about what I ask to see. If I find a path that is all positive, I should go that way.""}",,39992,,,,464568,,,,survey-text,
90,,,,,,,,,,,"{""Q0"":""41"",""Q1"":""female""}",,5151,,,,700810,,,,survey-text,
29,,,,,,,,,,,"{""Q0"":""It's a balance of finding a good route versus spending with the node finder""}",,41398,,,,333678,,,,survey-text,
29,,,,,,,,,,,"{""Q0"":""44"",""Q1"":""male""}",,12070,,,,686827,,,,survey-text,
85,,,,,,,,,,,"{""Q0"":""Click the first three closest (or at least until I find a +10) then check the other paths. When it's actual money, I might gamble choices more because $1 per check can add up.""}",,85249,,,,346391,,,,survey-text,
85,,,,,,,,,,,"{""Q0"":""29"",""Q1"":""male""}",,9194,,,,680974,,,,survey-text,
41,,,,,,,,,,,"{""Q0"":""I have learned how to properly go about finding the optimal route, while using the least amount of money. I am checking both of the end nodes now, compared to before. ""}",,46435,,,,337757,,,,survey-text,
41,,,,,,,,,,,"{""Q0"":""22"",""Q1"":""Male""}",,5971,,,,586693,,,,survey-text,
80,,,,,,,,,,,"{""Q0"":""I learned that either way you go you can make money or not. I am doing nothing different, just going either way with my gut feeling to see if I can make some money or a bonus. ""}",,81008,,,,561727,,,,survey-text,
80,,,,,,,,,,,"{""Q0"":""50"",""Q1"":""female""}",,24068,,,,871553,,,,survey-text,
37,,,,,,,,,,,"{""Q0"":""To inspect more nodes before moving.""}",,17296,,,,303364,,,,survey-text,
37,,,,,,,,,,,"{""Q0"":""33"",""Q1"":""Male""}",,10253,,,,565582,,,,survey-text,
78,,,,,,,,,,,"{""Q0"":""At the start, I didn't check the nodes. Then I would click the closest to the middle node. If it turned green I would try the next one. If the next one was red I would try a different side. If 2 were green I would try the final node and if it made me positive I would go that way even if the 3rd one was red (usually 5).""}",,103808,,,,440824,,,,survey-text,
78,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""Male""}",,8201,,,,835931,,,,survey-text,
40,,,,,,,,,,,"{""Q0"":""I don't select as many of the nodes to see what they are worth before I start moving since I only need to know so many before making my decision and I can save the $1 viewing fees.""}",,199292,,,,682896,,,,survey-text,
40,,,,,,,,,,,"{""Q0"":""35"",""Q1"":""Male""}",,9573,,,,1055734,,,,survey-text,
32,,,,,,,,,,,"{""Q0"":""Try to inspect more nodes before deciding. ""}",,17853,,,,327584,,,,survey-text,
32,,,,,,,,,,,"{""Q0"":""35"",""Q1"":""male""}",,8262,,,,563778,,,,survey-text,
42,,,,,,,,,,,"{""Q0"":""Using node inspector less - going in a direction of initial positive payout.""}",,78414,,,,479162,,,,survey-text,
42,,,,,,,,,,,"{""Q0"":""60"",""Q1"":""Male""}",,31339,,,,814601,,,,survey-text,
12,,,,,,,,,,,"{""Q0"":""Click less, try to find greens and go with them.""}",,30814,,,,454668,,,,survey-text,
88,,,,,,,,,,,"{""Q0"":""I am choosing my path more from the initial buying of the first move.""}",,64292,,,,548044,,,,survey-text,
88,,,,,,,,,,,"{""Q0"":""56"",""Q1"":""male""}",,19593,,,,882890,,,,survey-text,
53,,,,,,,,,,,"{""Q0"":""I learned that no matter what I do, that it will always be a choice of getting it wrong. I feel that knowing where to start doesn't mean you will get your way in the end. I follow what had a positive and guessed from there""}",,51074,,,,392295,,,,survey-text,
53,,,,,,,,,,,"{""Q0"":""38"",""Q1"":""Female""}",,6057,,,,775055,,,,survey-text,
27,,,,,,,,,,,"{""Q0"":""look at all the options. I probably shouldn't though. It cost to much.""}",,24533,,,,252313,,,,survey-text,
27,,,,,,,,,,,"{""Q0"":""22"",""Q1"":""Female""}",,10011,,,,516028,,,,survey-text,
56,,,,,,,,,,,"{""Q0"":""i just went to the left""}",,114778,,,,622428,,,,survey-text,
56,,,,,,,,,,,"{""Q0"":""47"",""Q1"":""female""}",,14139,,,,1361368,,,,survey-text,
89,,,,,,,,,,,"{""Q0"":""Learning what the potential outcomes could be and adjusting where I moved.""}",,28377,,,,338765,,,,survey-text,
89,,,,,,,,,,,"{""Q0"":""23"",""Q1"":""Male""}",,6690,,,,626538,,,,survey-text,
70,,,,,,,,,,,"{""Q0"":""I tried to use the best strategy to figure out which balls I should use $1 to find out, and choose the path to make the most money.""}",,53386,,,,714983,,,,survey-text,
