wid,trial_type,rt,stimulus,time_elapsed,button_pressed,view_history,responses,questions,correct,delays,trial_id,queries,block,prs,actions,trial_time,score,state_rewards,simulation_mode,path,rewards,trial_index,action_times,key_press
w3f28d59,survey-text,89649,,382271,,,"{""Q0"":""Be selective with your clicks and once you find the best outcome follow that plan."",""Q1"":""You would find the mortgage that had the best long-term rate and choose that one.""}",,,,,,,,,,,,,,,,,
w3f28d59,survey-text,105742,,489058,,,"{""Q0"":""Find the highest/best outcome before starting a path and then work toward that path instead of searching aimlessly."",""Q1"":""Finding a career that would give the best retirement plan."",""Q2"":""You look for the best possible outcome from the outset and then work toward that plan.""}",,,,,,,,,,,,,,,,,
w3f28d59,survey-text,5167,,500516,,,"{""Q0"":""No"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w517c1ab,survey-text,75475,,334844,,,"{""Q0"":""Try to notice patterns in the flight plans that result in positive results. "",""Q1"":""I would choose a plan that has the most positive appeals while still thinking of time. You don't want to be paying on a loan forever but you also don't want too high of an interest rate. ""}",,,,,,,,,,,,,,,,,
w517c1ab,survey-text,60530,,396385,,,"{""Q0"":""Take risks, not too many but enough to make the path rewarding. "",""Q1"":""I wouldnt be where I am today if I did not take a least a few risks, even if I had some losses along the way. "",""Q2"":""You can't always win, but the downfalls lead you to where you should be going. ""}",,,,,,,,,,,,,,,,,
w517c1ab,survey-text,4039,,414787,,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w6c36acd,survey-text,91828,,408414,,,"{""Q0"":""Focus on the last circle in your past first. These big numbers will define your outcome a lot."",""Q1"":""The interest rates for the next 19 years.""}",,,,,,,,,,,,,,,,,
w6c36acd,survey-text,89955,,499401,,,"{""Q0"":""That you should always think about the long term consequences of your actions. "",""Q1"":""Retirement planning."",""Q2"":""It will help me to start planning for the ends goal now.""}",,,,,,,,,,,,,,,,,
w6c36acd,survey-text,5902,,517656,,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
wd3e8a8b,survey-text,87219,,415183,,,"{""Q0"":""Learning about the most profitable designations is the key and not worrying about the path to get there as much which helps save you clicks."",""Q1"":""I would try to find the best path for me in the long run and not worry about the short term.""}",,,,,,,,,,,,,,,,,
