wid,view_history,trial_type,rt,time_elapsed,responses,questions,correct,stimulus,button_pressed,simulation_mode,score,block,path,action_times,prs,trial_id,rewards,trial_time,state_rewards,trial_index,actions,delays,queries
w24bfe32,,survey-text,18157,839621,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wc4cbf51,,survey-text,11904,1127842,"{""Q0"":""28"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wc9bcf64,,survey-text,41308,802312,"{""Q0"":""I'm 18 years old."",""Q1"":""Male.""}",,,,,,,,,,,,,,,,,,
wd8e6fd9,,survey-text,9623,519431,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w1aa271b,,survey-text,5313,1690087,"{""Q0"":""18"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w2bb4481,,survey-text,7511,609767,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wd3c255a,,survey-text,6350,604466,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w3ae32ea,,survey-text,9164,1117600,"{""Q0"":""39"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w966d084,,survey-text,6594,457398,"{""Q0"":""23"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w106f7b0,,survey-text,8757,521760,"{""Q0"":""44"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w7fd1c98,,survey-text,16285,1321246,"{""Q0"":""70"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w7407c83,,survey-text,10309,643607,"{""Q0"":""26"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w15aa800,,survey-text,9644,586559,"{""Q0"":""30"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w7360c6e,,survey-text,8569,808680,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w07f0552,,survey-text,15907,908570,"{""Q0"":""18"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
wbba1b19,,survey-text,10827,526753,"{""Q0"":""47"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wd9a9bc7,,survey-text,7498,808424,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w34969bf,,survey-text,12857,941545,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w8db2f73,,survey-text,13500,1078410,"{""Q0"":""32"",""Q1"":""woman""}",,,,,,,,,,,,,,,,,,
w80c78dc,,survey-text,7491,609810,"{""Q0"":""41"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w86fcfd1,,survey-text,6215,718622,"{""Q0"":""32"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wd49478d,,survey-text,5327,671259,"{""Q0"":""32"",""Q1"":""Female""}",,,,,,,,,,,,,,,,,,
w249ddb2,,survey-text,6236,535609,"{""Q0"":""23"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w1d333c2,,survey-text,8065,786359,"{""Q0"":""20"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w7878bca,,survey-text,9470,660185,"{""Q0"":""23"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
wcec8665,,survey-text,6062,610661,"{""Q0"":""21"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
w5f4cbae,,survey-text,491803,868084,"{""Q0"":""32"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w50f0488,,survey-text,8618,721092,"{""Q0"":""21"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w8532b3e,,survey-text,8757,708979,"{""Q0"":""29"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
wa3adeab,,survey-text,7448,1448625,"{""Q0"":""20"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
wbb92e58,,survey-text,7704,541432,"{""Q0"":""21"",""Q1"":""nonbinary""}",,,,,,,,,,,,,,,,,,
wd87f82e,,survey-text,8916,1003019,"{""Q0"":""19"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w39254f2,,survey-text,17505,1030240,"{""Q0"":""34"",""Q1"":""male""}",,,,,,,,,,,,,,,,,,
w45b91fc,,survey-text,6140,519072,"{""Q0"":""19"",""Q1"":""Male""}",,,,,,,,,,,,,,,,,,
w65c5a95,,survey-text,8300,518612,"{""Q0"":""26"",""Q1"":""woman""}",,,,,,,,,,,,,,,,,,
wdde3972,,survey-text,6172,2397142,"{""Q0"":""41"",""Q1"":""female""}",,,,,,,,,,,,,,,,,,
